EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 12-06-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
0.1mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTIAGO DE COMPOSTELA/LABACOLLA, SPAIN (STAID: 1394)
Blended and updated with sources:19729 908042 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1394, 19729,19440331,    0,    0
  1394, 19729,19440401,   25,    0
  1394, 19729,19440402,   33,    0
  1394, 19729,19440403,   27,    0
  1394, 19729,19440404,    0,    0
  1394, 19729,19440405,    0,    0
  1394, 19729,19440406,  175,    0
  1394, 19729,19440407,   60,    0
  1394, 19729,19440408,    0,    0
  1394, 19729,19440409,    0,    0
  1394, 19729,19440410,   30,    0
  1394, 19729,19440411,  106,    0
  1394, 19729,19440412,   10,    0
  1394, 19729,19440413,  315,    0
  1394, 19729,19440414,  225,    0
  1394, 19729,19440415,  173,    0
  1394, 19729,19440416,   26,    0
  1394, 19729,19440417,    0,    0
  1394, 19729,19440418,    0,    0
  1394, 19729,19440419,    8,    0
  1394, 19729,19440420,    0,    0
  1394, 19729,19440421,    0,    0
  1394, 19729,19440422,    0,    0
  1394, 19729,19440423,    0,    0
  1394, 19729,19440424,    0,    0
  1394, 19729,19440425,    0,    0
  1394, 19729,19440426,    0,    0
  1394, 19729,19440427,    0,    0
  1394, 19729,19440428,    0,    0
  1394, 19729,19440429,    0,    0
  1394, 19729,19440430,    0,    0
  1394, 19729,19440501,    0,    0
  1394, 19729,19440502,    0,    0
  1394, 19729,19440503,    0,    0
  1394, 19729,19440504,    0,    0
  1394, 19729,19440505,    0,    0
  1394, 19729,19440506,    0,    0
  1394, 19729,19440507,    0,    0
  1394, 19729,19440508,    0,    0
  1394, 19729,19440509,    0,    0
  1394, 19729,19440510,    0,    0
  1394, 19729,19440511,    0,    0
  1394, 19729,19440512,    0,    0
  1394, 19729,19440513,    0,    0
  1394, 19729,19440514,    0,    0
  1394, 19729,19440515,    0,    0
  1394, 19729,19440516,    0,    0
  1394, 19729,19440517,    0,    0
  1394, 19729,19440518,    0,    0
  1394, 19729,19440519,    0,    0
  1394, 19729,19440520,  128,    0
  1394, 19729,19440521,    0,    0
  1394, 19729,19440522,    0,    0
  1394, 19729,19440523,    0,    0
  1394, 19729,19440524,    0,    0
  1394, 19729,19440525,    0,    0
  1394, 19729,19440526,    0,    0
  1394, 19729,19440527,    0,    0
  1394, 19729,19440528,    0,    0
  1394, 19729,19440529,    0,    0
  1394, 19729,19440530,    0,    0
  1394, 19729,19440531,    0,    0
  1394, 19729,19440601,    0,    0
  1394, 19729,19440602,    0,    0
  1394, 19729,19440603,    0,    0
  1394, 19729,19440604,    0,    0
  1394, 19729,19440605,    0,    0
  1394, 19729,19440606,    0,    0
  1394, 19729,19440607,    0,    0
  1394, 19729,19440608,    0,    0
  1394, 19729,19440609,    0,    0
  1394, 19729,19440610,    0,    0
  1394, 19729,19440611,    0,    0
  1394, 19729,19440612,    0,    0
  1394, 19729,19440613,    0,    0
  1394, 19729,19440614,    0,    0
  1394, 19729,19440615,    0,    0
  1394, 19729,19440616,    0,    0
  1394, 19729,19440617,    0,    0
  1394, 19729,19440618,    0,    0
  1394, 19729,19440619,    0,    0
  1394, 19729,19440620,    0,    0
  1394, 19729,19440621,  128,    0
  1394, 19729,19440622,    0,    0
  1394, 19729,19440623,    0,    0
  1394, 19729,19440624,    0,    0
  1394, 19729,19440625,  102,    0
  1394, 19729,19440626,  104,    0
  1394, 19729,19440627,    0,    0
  1394, 19729,19440628,   94,    0
  1394, 19729,19440629,    0,    0
  1394, 19729,19440630,    0,    0
  1394, 19729,19440701,    0,    0
  1394, 19729,19440702,    5,    0
  1394, 19729,19440703,    0,    0
  1394, 19729,19440704,    0,    0
  1394, 19729,19440705,    0,    0
  1394, 19729,19440706,  166,    0
  1394, 19729,19440707,    0,    0
  1394, 19729,19440708,    0,    0
  1394, 19729,19440709,    0,    0
  1394, 19729,19440710,    0,    0
  1394, 19729,19440711,    0,    0
  1394, 19729,19440712,    0,    0
  1394, 19729,19440713,    0,    0
  1394, 19729,19440714,    0,    0
  1394, 19729,19440715,    0,    0
  1394, 19729,19440716,    0,    0
  1394, 19729,19440717,    0,    0
  1394, 19729,19440718,    0,    0
  1394, 19729,19440719,    0,    0
  1394, 19729,19440720,    0,    0
  1394, 19729,19440721,  158,    0
  1394, 19729,19440722,    2,    0
  1394, 19729,19440723,    0,    0
  1394, 19729,19440724,    0,    0
  1394, 19729,19440725,    0,    0
  1394, 19729,19440726,   84,    0
  1394, 19729,19440727,    8,    0
  1394, 19729,19440728,   11,    0
  1394, 19729,19440729,    0,    0
  1394, 19729,19440730,    0,    0
  1394, 19729,19440731,    0,    0
  1394, 19729,19440801,    0,    0
  1394, 19729,19440802,   40,    0
  1394, 19729,19440803,    0,    0
  1394, 19729,19440804,    0,    0
  1394, 19729,19440805,    0,    0
  1394, 19729,19440806,    0,    0
  1394, 19729,19440807,    0,    0
  1394, 19729,19440808,    0,    0
  1394, 19729,19440809,    0,    0
  1394, 19729,19440810,    0,    0
  1394, 19729,19440811,    0,    0
  1394, 19729,19440812,    0,    0
  1394, 19729,19440813,  327,    0
